ID_Credito,Modelo,Monto_prestamo,EntidadFederativa,ActividadEconomica,FLG_Empleo,IngresoMensual,Propiedad_Casa,Default_Crediticio,,,
2305109,MARCH,159003,JALISCO,TAXISTA,0,0,,1,,,1984
2306039,SENTRA,275400,JALISCO,TAXISTA,0,0,,1,,,
2310004,MARCH,196001,JALISCO,TAXISTA,0,0,,1,,,
2323061,MARCH,162802,SINALOA,TAXISTA,0,0,,1,,,
2340054,NP300,278300,SINALOA,TAXISTA,0,0,,1,,,
2342074,URVAN,447400,ESTADO DE MEXICO,TAXISTA,0,0,,1,,,
2342075,URVAN,447400,ESTADO DE MEXICO,TAXISTA,0,0,,1,,,
2342076,URVAN,447400,ESTADO DE MEXICO,TAXISTA,0,0,,1,,,
2342077,URVAN,445310,ESTADO DE MEXICO,TAXISTA,0,0,,1,,,
2342080,URVAN,447400,ESTADO DE MEXICO,EMPLEADO PRIVADO,0,0,,1,,,
2342081,URVAN,447400,ESTADO DE MEXICO,EMPLEADO PRIVADO,0,0,,1,,,
2342082,URVAN,447400,ESTADO DE MEXICO,EMPLEADO PRIVADO,0,0,,1,,,
2342083,URVAN,447400,ESTADO DE MEXICO,EMPLEADO PRIVADO,0,0,,1,,,
2342084,URVAN,447400,ESTADO DE MEXICO,EMPLEADO PRIVADO,0,0,,1,,,
2342085,URVAN,447400,ESTADO DE MEXICO,EMPLEADO PRIVADO,0,0,,1,,,
2352123,NP300,316001,JALISCO,OTROS,0,0,,1,,,
2361065,MARCH,167701,PUEBLA,TAXISTA,0,0,,1,,,
2361066,MARCH,167701,PUEBLA,TAXISTA,0,0,,1,,,
2361068,MARCH,167701,PUEBLA,TAXISTA,0,0,,1,,,
2361071,MARCH,167701,PUEBLA,TAXISTA,0,0,,1,,,
2361077,MARCH,167701,PUEBLA,ECONOMIA INFORMAL,0,0,,1,,,
2362031,NP300,316001,JALISCO,EMPLEADO PRIVADO,0,0,,1,,,
2370085,URVAN,447400,ESTADO DE MEXICO,TAXISTA,0,0,,1,,,
2370096,URVAN,447400,ESTADO DE MEXICO,TAXISTA,0,0,,1,,,
2370100,URVAN,447400,ESTADO DE MEXICO,TAXISTA,0,0,,1,,,
2370118,URVAN,447400,ESTADO DE MEXICO,OTROS,0,0,,1,,,
2371010,URVAN,447400,ESTADO DE MEXICO,OTROS,0,0,,1,,,
2371011,URVAN,447400,ESTADO DE MEXICO,OTROS,0,0,,1,,,
2371054,URVAN,447400,ESTADO DE MEXICO,EMPLEADO PRIVADO,0,0,,1,,,
2372039,URVAN,447400,ESTADO DE MEXICO,EMPLEADO PRIVADO,0,0,,1,,,
2372042,URVAN,447400,ESTADO DE MEXICO,TAXISTA,0,0,,1,,,
2372043,URVAN,447400,ESTADO DE MEXICO,TAXISTA,0,0,,1,,,
2374036,NP300,272001,VERACRUZ,TAXISTA,0,0,,1,,,
2382043,NP300,319400,JALISCO,EMPLEADO DE GOBIERNO,0,0,,1,,,
2403115,VERSA,261000,JALISCO,TAXISTA,0,0,,1,,,
2404052,VERSA,161700,CIUDAD DE MEXICO,TAXISTA,0,0,,1,,,
2418068,URVAN,542200,ESTADO DE MEXICO,EMPLEADO PRIVADO,0,0,,1,,,
2424055,VERSA,273200,SINALOA,TAXISTA,0,0,,1,,,
2429089,URVAN,542200,QUERETARO,TAXISTA,0,0,,1,,,
2429090,URVAN,542200,QUERETARO,TAXISTA,0,0,,1,,,
2431109,URVAN,542200,ESTADO DE MEXICO,EMPLEADO PRIVADO,0,0,,1,,,
5166022,NP300,200578,CHIHUAHUA,NEGOCIO PROPIO,0,0,,1,,,
5189003,NP300,359201,JALISCO,TAXISTA,0,0,,1,,,
7744058,VERSA,272001,CIUDAD DE MEXICO,EMPLEADO DE GOBIERNO,0,0,,1,,,
8593007,NP300,278300,DURANGO,TAXISTA,0,0,,1,,,
2328023,VERSA,211400,ESTADO DE MEXICO,EMPLEADO PRIVADO,0,5000,RENTADA,1,,,
2344079,MARCH,228200,CHIHUAHUA,EMPLEADO PRIVADO,0,0,PROPIETARIO,1,,,
2382094,MARCH,216600,DURANGO,EMPLEADO PRIVADO,0,1000,PROPIETARIO,1,,,
2317116,VERSA,272001,CIUDAD DE MEXICO,OTROS,0,11500,FAMILIA O PADRES,1,,,
2320042,VERSA,342921,ESTADO DE MEXICO,NEGOCIO PROPIO,0,3000,PROPIETARIO,1,,,
2337030,URVAN,445310,ESTADO DE MEXICO,TAXISTA,0,0,FAMILIA O PADRES,1,,,
2352091,VERSA,215701,CHIAPAS,TAXISTA,0,25000,FAMILIA O PADRES,1,,,
2379049,VERSA,223700,CIUDAD DE MEXICO,TAXISTA,0,25000,FAMILIA O PADRES,1,,,
2379057,VERSA,228200,JALISCO,EMPLEADO PRIVADO,0,23000,PROPIA (PAGANDO),1,,,
